Product No.,Product Name,Image URL,Description,Price (₹),Occasion,Status
Product 1,Classic 21 Red Roses Bouquet,https://drive.google.com/uc?export=view&id=1cpJMck3YEYANy_4uBPE2Ej1t8K68b-4N,"A stunning hand-tied bouquet of 21 velvety red roses surrounded by delicate white baby's breath, wrapped elegantly and tied with a satin ribbon. (Note: Wrapping paper colour & texture may vary)",699,"Valentine's Day, Anniversary, Romantic Surprise, Best Sellers
",In Stock
Product 2,Soft Pastel Pink Rose Bunch,https://drive.google.com/uc?export=view&id=1JTTaBprDopk8V8ws6rpg2VvGRt-GS5wB,"A dreamy bunch of soft pink roses nestled with airy baby's breath, wrapped in a cream tissue paper and tied with a pink satin ribbon — gentle, sweet & heartfelt. (Note: Wrapping paper colour & texture may vary)",600,"Birthday, Friendship, Thank You, Mother's Day, Best Sellers
",In Stock
Product 3,Peach Blossom Mixed Bouquet,https://drive.google.com/uc?export=view&id=1edFTn-jyEQVOujkgEP7bzWB-ipbAB--R,"A vibrant mix of peach & white roses with pink daisy fillers and baby's breath, wrapped in soft peach paper — warm, colourful and full of joy. (Note: Wrapping paper colour & texture may vary)",1499,"Birthday, Congratulations, Farewell, Get Well Soon
",In Stock
Product 4,Pink Lily & Chrysanthemum Bouquet,https://drive.google.com/uc?export=view&id=1V48ZJQ1Q0y39kubUK3Z3dzGXCx-5Lx0k,"An elegant bouquet of blooming pink lilies paired with purple chrysanthemums and fresh green buds, wrapped in crisp white paper with a pink satin bow — graceful and fragrant. (Note: Wrapping paper colour & texture may vary)",3999,"Mother's Day, Anniversary, Sympathy, Get Well Soon, Best Sellers
",In Stock
Product 5,Orchid Carnival Mix Bouquet,https://drive.google.com/uc?export=view&id=1bu6hIhMX4d-IHIjnmFVG7OkNz6Dx74t1,"A bold and festive bouquet of pink carnations, purple orchids, orange alstroemeria and tropical stems, wrapped in vibrant hot-pink paper — lively, exotic and unforgettable. (Note: Wrapping paper colour & texture may vary)",1499,"Birthday, Celebration, Graduation, Farewell
",In Stock
Product 6,Sweet Pink Rose Bouquet,https://drive.google.com/uc?export=view&id=1Zq_aPUFhFTMSij7OmpAUboS89w2CGR27,"A charming bouquet of fresh pink roses with white baby's breath, wrapped in clean white paper and tied with a fuchsia bow — simple, sweet and always elegant. (Note: Wrapping paper colour & texture may vary)",499,"Birthday, Friendship, Thank You, Valentine's Day, Best Sellers
",In Stock
Product 7,Grand Red Rose Prestige Bouquet,https://drive.google.com/uc?export=view&id=1_pEGn0sH9qo6zuhQKRj4k62KbZeKXK2V,"A luxurious grand bouquet of 50+ deep red roses with baby's breath, wrapped in a dramatic black and white paper with a red ribbon — the ultimate statement of love and grandeur. (Note: Wrapping paper colour & texture may vary)",1799,"Proposal, Anniversary, Valentine's Day, Special Occasion",In Stock
Product 8,Peacock Crown,"https://drive.google.com/uc?export=view&id=1owFZSTGRXuKYAEdTZkpZtFh_rAg2mqVV
","Inspired by nature’s most magnificent display, The Peacock is a fan of vibrant jewel tones. With layers of deep violet and hot pink petals anchored by lush greenery, this bouquet peaks with a dramatic crest of azure blooms. A true showstopper designed to command the room (Price may CHANGE)",5999,"Special Occasion, Anniversary, Celebration",In Stock
Product 9,Sunflower Burst Bouquet,https://res.cloudinary.com/dlg6d4qbh/image/upload/v1779467296/Sunflower_Burst_Bouquet_rkp5xf.png,"A radiant bouquet of fresh golden sunflowers, hand-tied and wrapped in crisp black and white paper with bold black ribbon curls — bright, cheerful and impossible to miss. (Note: Wrapping paper colour & texture may vary)",1499,"Birthday, Congratulations, Friendship, Thank You, Graduation, Get Well Soon",in-stock
Product 10,Choco Treat Bouquet,https://res.cloudinary.com/dlg6d4qbh/image/upload/v1779472859/Choco_Treat_Bouquet_crocb0.png,"A fun-filled bouquet bursting with everyone's favourite treats — Cadbury Dairy Milk, 5 Star bars, Gems, colourful lollipops and Lay's chips, all arranged bouquet-style, wrapped in soft sky-blue tissue paper and tied with a purple satin bow — the perfect edible gift for any snack lover. (Note: Wrapping paper colour & texture may vary)",3499,"Birthday, Friendship Day, Children's Day, Thank You, Congratulations, Get Well Soon, Farewell",in-stock
Product 11,Carnival MIx,https://res.cloudinary.com/dlg6d4qbh/image/upload/v1779475822/Carnival_Mix_d2c4cl.png,"A vibrant and joyful hand-tied bouquet bursting with yellow lilies, golden roses, purple and lavender chrysanthemums, orange daisies, and white pompom blooms — a true celebration of colour and freshness. Wrapped artfully in vintage-style newspaper print paper layered with soft lavender matte wrap and white tissue paper lining, tied together for a chic, contemporary finish. (Note: Wrapping paper colour & texture may vary)",2199,"Birthday, Congratulations, Friendship Day, Thank You, Farewell, Graduation, Celebration, Mother's Day, Special Occasion",in-stock
